SpammerType,method,percent,acc_mean,acc_std,wacc_mean,wacc_std,tau_mean,tau_std
anti,pgem,80,0.7903219217061996,6.128690968252672e-05,0.8721069669723511,5.121646249692169e-05,0.5758963655633365,0.0001215479357416
anti,rc,80,0.7543311357498169,5.339329517628253e-05,0.8404958605766296,4.464570284938738e-05,0.5053413961265059,0.0001065078948768
equal,GradEM,10,0.7914382159709931,9.324876250115824e-05,0.8730606496334076,8.950816010818527e-05,0.5781106088872295,0.0001849724745663
equal,barp,10,0.7868151307106018,0.0003258703841795,0.869502866268158,0.0003548538327845,0.5689400434412846,0.0006464183398484
equal,bt,10,0.7869363367557526,0.0002515727805066,0.8696435987949371,0.0002461775987219,0.5691804906465663,0.0004990406480155
equal,crowdbt,10,0.7904608064889908,0.0001957975906334,0.8723637241125107,0.0001536989297965,0.5761717844843601,0.0003883891053812
equal,factorbt,10,0.7901572525501251,0.0001750762868132,0.8283519387245178,0.0002985933598586,0.5755699062431325,0.0003472746303243
equal,pgem,10,0.7916519224643708,0.000168287555088,0.873143401145935,0.0001766461247539,0.5785345494986034,0.0003338338412493
equal,rc,10,0.7796099066734314,0.0002279295298428,0.8636981308460235,0.0002180157299425,0.5561132737234893,0.000449295710269
equal,GradEM,20,0.7913261771202087,0.0001244899157665,0.8729692041873932,0.0001094911251642,0.57788834060934,0.0002469644365156
equal,barp,20,0.784016090631485,0.0005653894782523,0.8672696113586426,0.0006236971701459,0.5633877516980268,0.0011215537669373
equal,bt,20,0.7842357099056244,0.0003067615157111,0.8675536036491394,0.0003968589373763,0.5638234050461011,0.0006085077284618
equal,crowdbt,20,0.7902996551990509,0.0002418292210106,0.8722465646266937,0.0001712403562933,0.5758521180387812,0.0004797061709675
equal,factorbt,20,0.7890563428401947,0.0003291271024278,0.8272353172302246,0.0005162790296021,0.5733860828900779,0.0006529421868817
equal,pgem,20,0.7915527760982514,0.0003570140626137,0.8730867177248001,0.0003092871416358,0.5783378990687614,0.000708189273933
equal,rc,20,0.7788507580757141,0.0002848734881875,0.8629982769489288,0.0002432621698274,0.5540407394337741,0.0005635841846473
equal,GradEM,40,0.7910504579544068,0.000177479477689,0.872780853509903,0.0001639256677107,0.5773414909376337,0.0003520595330899
equal,barp,40,0.7791889786720276,0.0007766767303301,0.8633740305900574,0.0007627114518723,0.5538124527342712,0.0015406129775465
equal,bt,40,0.7793568015098572,0.0006064639419246,0.8636581122875213,0.0006473248382374,0.5541453552932627,0.0012029864815201
equal,crowdbt,40,0.790091124176979,0.0002583986713486,0.8720985943078995,0.0001691312884147,0.5754384788462615,0.000512563745003
equal,factorbt,40,0.7870833218097687,0.000387907382135,0.825616180896759,0.0007691140495845,0.569472153028995,0.0007694486308757
equal,pgem,40,0.7912379264831543,0.0002993352843527,0.8728421586751938,0.0002603527600967,0.5777133743980969,0.0005936777270263
equal,rc,40,0.776954072713852,0.0003535165843092,0.861352926492691,0.0003639631171361,0.5500369599210411,0.0006989333826443
equal,GradEM,60,0.790851891040802,0.0002162896700852,0.8726072132587432,0.0001930071274082,0.5769475735885649,0.0004290304253799
equal,barp,60,0.7744697749614715,0.001051232498989,0.8594432055950165,0.0010377419779461,0.5444512458094051,0.0020852569209129
equal,bt,60,0.7744121491909027,0.0006209123258706,0.8594104230403901,0.0007256617111257,0.5443368882636246,0.0012316725833303
equal,crowdbt,60,0.789889440536499,0.0002623881887887,0.8719239968061447,0.0001861521906452,0.575038399137606,0.0005204931513627
equal,factorbt,60,0.7847776174545288,0.000457932075398,0.8233445346355438,0.0005831064404651,0.5648984093519023,0.0009083673038974
equal,pgem,60,0.7909829485416412,0.0002524139221946,0.8726380079984665,0.0002490952063424,0.5772075517900738,0.0005006962800535
equal,rc,60,0.7747990727424622,0.0006069833094668,0.8594824075698853,0.0006340589495032,0.5456061612966078,0.0012049708078996
equal,GradEM,80,0.7906038105487824,0.0001845491336884,0.8724082291126252,0.0001596798022153,0.5764554721562548,0.0003660758513724
equal,barp,80,0.7692077696323395,0.0013070897454779,0.8547601401805878,0.00123444418059,0.5340132807612689,0.0025928054947159
equal,bt,80,0.7693229973316192,0.0008943571663403,0.854932701587677,0.0009378785920361,0.5342418221502139,0.0017740708751155
equal,crowdbt,80,0.7896741771697998,0.0002892453395281,0.871744259595871,0.0002033142226966,0.5746113911038606,0.0005737764909085
equal,factorbt,80,0.7818436920642853,0.0006030025176586,0.8209444284439087,0.0008341981576033,0.5590785160933147,0.0011961217027201
equal,pgem,80,0.7906864243745804,0.0003270418667589,0.872409256696701,0.0003081804146204,0.5766193445779775,0.0006487277916249
equal,rc,80,0.7721171319484711,0.0008441090458588,0.8570467472076416,0.0009298119340978,0.5401724981725659,0.0016775978041709
left,GradEM,10,0.791508799791336,5.588176531359451e-05,0.8730820298194886,5.499723383440884e-05,0.5782506438149372,0.0001108483543294
left,barp,10,0.7873048782348633,1.5791789165740336e-05,0.8694862425327301,1.0478193099127297e-05,0.5699115653175011,3.13655436719326e-05
left,bt,10,0.7872809648513794,1.8261092830988197e-05,0.8694719314575196,1.0209640612898862e-05,0.5698640793235344,3.624009543220006e-05
left,crowdbt,10,0.7904783481359482,0.0002624607559967,0.8723980176448822,0.0001716404399546,0.5762065879013779,0.0005206270067768
left,factorbt,10,0.7907440364360809,1.3513182749165751e-05,0.8291827261447906,4.539240277835055e-05,0.5767342625947687,2.691139044920144e-05
left,pgem,10,0.7917080265283585,0.0005620225952501,0.8731854623556137,0.000490452338238,0.5786458554185689,0.001114843488699
left,rc,10,0.7799962639808655,5.742486069471923e-06,0.8638032734394073,8.451570820976813e-06,0.5570435891786228,1.3412951230719516e-05
left,GradEM,20,0.7914714395999909,5.498704739461863e-05,0.8730696141719818,5.045014209386143e-05,0.5781765198680376,0.0001090869730982
left,barp,20,0.7850782930850982,2.511190371664513e-05,0.8678958237171173,4.055339934047266e-05,0.5654947807671321,4.984123216960152e-05
left,bt,20,0.7850604474544525,2.328459930128761e-05,0.8678857505321502,3.799976363300791e-05,0.5654594045361026,4.620927665716278e-05
left,crowdbt,20,0.7904277586936951,0.0002483149686317,0.8723553663492203,0.0001766786961691,0.5761062389571177,0.0004925715287132
left,factorbt,20,0.790564501285553,4.40050253934201e-05,0.8289237141609191,6.20688943818501e-05,0.5763780106356695,8.733451768268416e-05
left,pgem,20,0.7916176968812942,0.0004372061765324,0.873114389181137,0.0003714302986647,0.578466677695509,0.0008672405140056
left,rc,20,0.7794868171215057,1.4193217662952764e-05,0.8634217023849488,1.96230259087009e-05,0.5555069431380253,2.509527622100073e-05
left,GradEM,40,0.7914773166179657,8.858112734267195e-05,0.8731121718883514,7.390293952216848e-05,0.5781881977336673,0.0001757297552497
left,barp,40,0.7793999373912811,2.0482404873207888e-05,0.8632326483726501,1.7830800964161827e-05,0.5542308834880784,4.0626825106790055e-05
left,bt,40,0.7793962597846985,2.051990122380006e-05,0.8632303714752197,1.8201607308883115e-05,0.5542236027687818,4.0730511901631454e-05
left,crowdbt,40,0.7904555302858353,0.0002650743807151,0.8724022978544235,0.0001755977063809,0.576161324474965,0.0005258169463315
left,factorbt,40,0.7895833909511566,7.035461937538433e-05,0.8285472393035889,8.40258201222569e-05,0.5744328223307841,0.0001395700368329
left,pgem,40,0.7916122323274613,0.0002103966574581,0.8731261712312698,0.0001929501584309,0.5784558273510219,0.0004173405213769
left,rc,40,0.7775409460067749,1.2935669108885678e-05,0.8616943955421448,1.4600266933422154e-05,0.5511828030999618,2.510028799600142e-05
left,GradEM,60,0.7914282262325287,7.316102943218038e-05,0.8730589985847473,6.683452738733457e-05,0.5780908374534364,0.0001451191804846
left,barp,60,0.7737217962741851,3.281358907986508e-05,0.8583372473716736,3.508447262089497e-05,0.5429675078766616,6.51170899588009e-05
left,bt,60,0.7737215757369995,3.2883499525127456e-05,0.8583369314670563,3.508165996416748e-05,0.5429670804995398,6.52456796373792e-05
left,crowdbt,60,0.7904277235269547,0.0001990079509106,0.8723649781942368,0.000138292369082,0.5761061648005255,0.0003947561846928
left,factorbt,60,0.7882502496242523,7.100367402139039e-05,0.8272661864757538,6.52110730917643e-05,0.5717880846368019,0.000140770692438
left,pgem,60,0.7914760893583298,0.000466430416392,0.8730104875564575,0.0004030614160844,0.578185800951045,0.000925143651666
left,rc,60,0.7754888534545898,1.6552693853077706e-05,0.8599232971668244,1.796273664231316e-05,0.5469650273308074,3.2778045559712724e-05
left,GradEM,80,0.7914488255977631,4.977265117539335e-05,0.8730845987796784,5.2529620783377744e-05,0.5781316538867057,9.870715509790348e-05
left,barp,80,0.7673584520816803,3.753009901652532e-05,0.852438622713089,3.6702810051098216e-05,0.5303448775001481,7.44601706573717e-05
